                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4458,                 1.0918,                 1.4261,                0.81994,                0.82786,                0.85157,                0.49302,                 1.4649,                 2.0193,                  1.477,               0.070023,              0.0033308,              0.0033308
                      2,                  1.409,                0.96493,                 1.4251,                0.93713,                0.83302,                0.89264,                0.43177,                  1.733,                0.93325,                 1.6151,               0.039957,              0.0065982,              0.0065982
                      3,                 1.3611,                0.91069,                 1.3924,                0.94812,                0.85724,                0.91453,                0.54931,                 1.3983,                0.80688,                 1.3716,              0.0098247,              0.0097995,              0.0097995
                      4,                 1.3271,                0.85729,                 1.3674,                0.95163,                0.87667,                0.93934,                0.59847,                 1.3285,                0.71682,                 1.3361,               0.009703,               0.009703,               0.009703
                      5,                 1.3033,                0.82351,                 1.3505,                0.95678,                0.90344,                0.94308,                 0.5694,                 1.4152,                 0.7028,                 1.3706,               0.009604,               0.009604,               0.009604
                      6,                 1.2845,                0.80555,                 1.3345,                0.96993,                0.87852,                0.93585,                0.57665,                 1.3793,                0.74559,                 1.3449,               0.009505,               0.009505,               0.009505
                      7,                 1.2736,                0.78595,                 1.3274,                 0.9653,                0.89212,                0.94818,                0.60134,                 1.3259,                0.67259,                 1.3133,               0.009406,               0.009406,               0.009406
                      8,                 1.2636,                0.78089,                 1.3163,                0.94883,                0.89353,                0.94281,                0.58788,                 1.3617,                0.66249,                 1.3221,               0.009307,               0.009307,               0.009307
                      9,                 1.2598,                0.75845,                 1.3184,                 0.9665,                0.89303,                0.95237,                0.59729,                 1.3394,                0.64793,                  1.306,               0.009208,               0.009208,               0.009208
                     10,                 1.2465,                0.74608,                 1.3056,                0.96454,                0.89728,                0.95237,                0.59726,                 1.3323,                0.63642,                 1.3079,               0.009109,               0.009109,               0.009109
                     11,                 1.2413,                0.73841,                 1.3004,                0.96721,                0.91321,                0.95362,                0.59237,                  1.362,                 0.6372,                 1.3234,                0.00901,                0.00901,                0.00901
                     12,                 1.2339,                0.72685,                 1.3002,                0.95235,                0.91867,                0.95356,                0.57912,                 1.3699,                0.60893,                 1.3373,               0.008911,               0.008911,               0.008911
                     13,                 1.2333,                0.72019,                 1.2932,                 0.9634,                0.92604,                0.95906,                0.60859,                 1.3186,                0.58608,                 1.2945,               0.008812,               0.008812,               0.008812
                     14,                  1.228,                0.71122,                 1.2903,                0.97076,                0.92026,                0.96256,                0.61811,                 1.3102,                0.55379,                  1.279,               0.008713,               0.008713,               0.008713
                     15,                 1.2264,                0.70524,                 1.2859,                0.96556,                0.92402,                0.96111,                0.63175,                 1.2812,                0.56167,                 1.2641,               0.008614,               0.008614,               0.008614
                     16,                 1.2169,                0.69437,                 1.2777,                0.95731,                0.93058,                0.96571,                0.62649,                 1.2819,                0.54302,                 1.2636,               0.008515,               0.008515,               0.008515
                     17,                 1.2153,                0.69217,                 1.2808,                0.96564,                0.92285,                0.96239,                0.62016,                 1.3234,                0.54306,                 1.2896,               0.008416,               0.008416,               0.008416
                     18,                 1.2164,                0.68719,                 1.2743,                0.96621,                0.93011,                0.96337,                0.62604,                 1.3025,                0.53849,                 1.2707,               0.008317,               0.008317,               0.008317
                     19,                 1.2053,                0.68754,                 1.2728,                0.97134,                0.92777,                0.96581,                0.63757,                 1.2585,                0.52537,                 1.2566,               0.008218,               0.008218,               0.008218
                     20,                 1.2019,                0.67473,                 1.2721,                0.96629,                0.92782,                0.96624,                0.63772,                 1.2726,                0.52137,                  1.254,               0.008119,               0.008119,               0.008119
                     21,                 1.2026,                0.67655,                 1.2707,                0.96308,                0.94204,                0.96898,                 0.6431,                 1.2502,                0.50088,                 1.2465,                0.00802,                0.00802,                0.00802
                     22,                 1.2032,                0.67004,                 1.2694,                0.95677,                  0.947,                0.96814,                0.63481,                 1.2711,                0.51569,                 1.2546,               0.007921,               0.007921,               0.007921
                     23,                 1.2061,                0.68124,                   1.27,                0.96602,                0.93347,                0.96778,                0.64598,                 1.2394,                0.50347,                 1.2326,               0.007822,               0.007822,               0.007822
                     24,                 1.1889,                0.66562,                   1.26,                 0.9649,                0.92842,                0.96655,                0.64474,                 1.2357,                0.49705,                 1.2328,               0.007723,               0.007723,               0.007723
                     25,                 1.1885,                0.65832,                 1.2586,                0.96791,                0.93381,                 0.9674,                0.64064,                 1.2516,                0.49505,                 1.2394,               0.007624,               0.007624,               0.007624
                     26,                 1.1905,                 0.6655,                 1.2643,                 0.9631,                0.94184,                0.96919,                0.63921,                 1.2574,                0.49703,                 1.2455,               0.007525,               0.007525,               0.007525
                     27,                 1.1868,                0.65427,                 1.2522,                0.96633,                0.93809,                0.96786,                0.64423,                 1.2424,                0.48825,                 1.2321,               0.007426,               0.007426,               0.007426
                     28,                 1.1851,                0.65459,                 1.2527,                0.97369,                0.93742,                  0.969,                0.65133,                 1.2224,                0.48735,                 1.2218,               0.007327,               0.007327,               0.007327
                     29,                 1.1816,                 0.6505,                 1.2555,                 0.9621,                0.94066,                0.96604,                0.64739,                 1.2242,                0.48452,                 1.2256,               0.007228,               0.007228,               0.007228
                     30,                 1.1858,                0.65239,                 1.2546,                0.96048,                0.94559,                0.97086,                0.64715,                  1.239,                0.48289,                 1.2305,               0.007129,               0.007129,               0.007129
                     31,                 1.1805,                0.65328,                 1.2481,                0.96058,                0.94465,                0.97197,                0.65149,                 1.2288,                0.48619,                 1.2231,                0.00703,                0.00703,                0.00703
                     32,                 1.1738,                0.64795,                 1.2472,                0.96539,                0.94196,                0.97029,                0.65262,                 1.2252,                0.48057,                 1.2215,               0.006931,               0.006931,               0.006931
                     33,                  1.175,                0.64357,                  1.247,                0.96913,                0.94252,                0.97109,                0.65527,                 1.2234,                0.48007,                 1.2227,               0.006832,               0.006832,               0.006832
                     34,                 1.1812,                0.64354,                 1.2526,                0.97009,                0.94325,                0.97334,                0.65647,                 1.2166,                0.47934,                 1.2196,               0.006733,               0.006733,               0.006733
                     35,                 1.1716,                0.63467,                 1.2458,                0.96944,                0.94465,                0.97058,                0.65378,                 1.2162,                0.47681,                 1.2192,               0.006634,               0.006634,               0.006634
                     36,                 1.1762,                0.63906,                  1.244,                0.96812,                 0.9409,                0.96801,                0.65464,                 1.2212,                0.47665,                  1.219,               0.006535,               0.006535,               0.006535
                     37,                 1.1689,                0.63379,                 1.2388,                0.96726,                0.94225,                0.96962,                0.65554,                 1.2123,                0.47408,                 1.2144,               0.006436,               0.006436,               0.006436
                     38,                 1.1706,                0.62989,                 1.2395,                0.96551,                0.94545,                0.97054,                0.65511,                 1.2091,                0.47099,                 1.2136,               0.006337,               0.006337,               0.006337
                     39,                 1.1653,                0.62601,                 1.2366,                0.96781,                0.94325,                0.97119,                0.65742,                 1.2054,                0.46717,                 1.2104,               0.006238,               0.006238,               0.006238
                     40,                 1.1619,                 0.6249,                 1.2329,                0.96898,                0.94278,                0.97054,                0.65913,                 1.2013,                0.46635,                 1.2083,               0.006139,               0.006139,               0.006139
                     41,                 1.1646,                0.62996,                 1.2366,                0.97195,                0.94325,                0.97111,                0.65943,                 1.1959,                0.46544,                 1.2055,                0.00604,                0.00604,                0.00604
                     42,                 1.1596,                0.62466,                 1.2312,                0.97172,                0.94418,                0.97137,                0.66041,                 1.1949,                0.46479,                 1.2046,               0.005941,               0.005941,               0.005941
                     43,                 1.1628,                0.62581,                 1.2335,                0.97243,                0.94305,                0.97108,                0.66278,                 1.1939,                0.46327,                 1.2032,               0.005842,               0.005842,               0.005842
                     44,                 1.1545,                0.61739,                 1.2311,                0.97242,                0.94252,                0.96997,                0.66242,                 1.1926,                0.46266,                 1.2026,               0.005743,               0.005743,               0.005743
